kota_administrasi,kecamatan,kelurahan,lama_genangan,jumlah_tempat_pengungsian,jumlah_luka_ringan,jumlah_luka_berat,jumlah_meninggal,ketinggian_air_minimal,ketinggian_air_maksimal,avg_ketinggian_air,total_kejadian,total_rw,cluster
2.0,19.0,63.0,3.0,0.0,0.0,0.0,0.0,30.0,50.0,40.0,3.0,1.0,4.0
2.0,125.0,432.0,3.0,0.0,0.0,0.0,0.0,15.0,30.0,22.5,3.0,1.0,0.0
2.0,125.0,310.0,1.0,0.0,0.0,0.0,0.0,5.0,15.0,10.0,1.0,1.0,3.0
2.0,125.0,114.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,1.0,1.0,4.0
2.0,125.0,334.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,1.0,1.0,0.0
1.0,82.0,329.0,8.0,8.0,0.0,0.0,1.0,30.0,100.0,65.0,8.0,4.0,3.0
1.0,82.0,328.0,8.0,0.0,0.0,0.0,0.0,30.0,150.0,90.0,8.0,2.0,3.0
1.0,82.0,91.0,12.0,0.0,0.0,0.0,0.0,20.0,70.0,45.0,12.0,10.0,4.0
1.0,82.0,517.0,4.0,0.0,0.0,0.0,0.0,20.0,60.0,40.0,4.0,4.0,2.0
1.0,82.0,374.0,3.0,1.0,0.0,0.0,0.0,10.0,40.0,25.0,3.0,3.0,0.0
1.0,20.0,110.0,3.0,0.0,0.0,0.0,0.0,10.0,50.0,30.0,3.0,3.0,4.0
1.0,20.0,565.0,7.0,12.0,0.0,0.0,0.0,20.0,100.0,60.0,7.0,2.0,2.0
1.0,20.0,543.0,5.0,0.0,0.0,0.0,3.0,10.0,60.0,35.0,5.0,1.0,2.0
1.0,20.0,542.0,4.0,0.0,0.0,0.0,0.0,20.0,60.0,40.0,4.0,1.0,2.0
1.0,20.0,549.0,4.0,0.0,0.0,0.0,0.0,20.0,50.0,35.0,4.0,1.0,2.0
1.0,20.0,134.0,7.0,30.0,0.0,0.0,0.0,10.0,120.0,65.0,7.0,8.0,1.0
1.0,20.0,135.0,7.0,0.0,0.0,0.0,0.0,15.0,40.0,27.5,7.0,4.0,4.0
1.0,10.0,308.0,11.0,11.0,0.0,0.0,1.0,10.0,160.0,85.0,11.0,16.0,3.0
1.0,10.0,61.0,7.0,12.0,0.0,0.0,0.0,10.0,50.0,30.0,7.0,10.0,4.0
1.0,10.0,60.0,11.0,18.0,0.0,0.0,2.0,10.0,60.0,35.0,11.0,8.0,4.0
1.0,10.0,92.0,7.0,10.0,0.0,0.0,1.0,10.0,80.0,45.0,7.0,6.0,4.0
1.0,10.0,327.0,15.0,50.0,0.0,0.0,3.0,10.0,90.0,50.0,15.0,9.0,3.0
1.0,10.0,484.0,7.0,31.0,0.0,0.0,1.0,50.0,200.0,125.0,7.0,12.0,2.0
1.0,134.0,538.0,10.0,5.0,0.0,0.0,0.0,30.0,100.0,65.0,11.0,8.0,2.0
1.0,134.0,3.0,3.0,2.0,0.0,0.0,0.0,30.0,50.0,40.0,3.0,10.0,1.0
1.0,134.0,441.0,9.0,87.0,0.0,0.0,0.0,20.0,120.0,70.0,9.0,12.0,2.0
1.0,134.0,93.0,6.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,6.0,3.0,4.0
1.0,134.0,136.0,6.0,2.0,0.0,0.0,0.0,45.0,45.0,45.0,6.0,3.0,4.0
1.0,134.0,137.0,9.0,35.0,0.0,0.0,2.0,30.0,50.0,40.0,9.0,5.0,4.0
1.0,134.0,298.0,5.0,0.0,0.0,0.0,0.0,30.0,45.0,37.5,5.0,1.0,3.0
1.0,134.0,491.0,4.0,10.0,0.0,0.0,1.0,40.0,150.0,95.0,2.0,3.0,2.0
1.0,134.0,539.0,5.0,7.0,0.0,0.0,0.0,10.0,60.0,35.0,2.0,8.0,2.0
1.0,134.0,343.0,5.0,9.0,0.0,0.0,0.0,10.0,60.0,35.0,2.0,2.0,0.0
1.0,79.0,300.0,1.0,0.0,0.0,0.0,0.0,10.0,50.0,30.0,1.0,3.0,3.0
1.0,79.0,546.0,8.0,26.0,0.0,0.0,0.0,30.0,60.0,45.0,8.0,5.0,2.0
1.0,79.0,302.0,4.0,0.0,0.0,0.0,0.0,10.0,50.0,30.0,4.0,5.0,3.0
1.0,79.0,509.0,3.0,4.0,0.0,0.0,0.0,5.0,25.0,15.0,3.0,4.0,0.0
1.0,79.0,434.0,3.0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,3.0,1.0,0.0
1.0,86.0,336.0,6.0,12.0,0.0,0.0,0.0,20.0,100.0,60.0,6.0,9.0,3.0
1.0,86.0,138.0,3.0,0.0,0.0,0.0,0.0,40.0,60.0,50.0,3.0,1.0,4.0
1.0,86.0,375.0,3.0,0.0,0.0,0.0,0.0,30.0,40.0,35.0,3.0,1.0,0.0
1.0,86.0,374.0,4.0,2.0,0.0,0.0,0.0,10.0,40.0,25.0,4.0,3.0,0.0
1.0,112.0,426.0,3.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,3.0,3.0,0.0
1.0,112.0,338.0,5.0,26.0,0.0,0.0,0.0,30.0,150.0,90.0,5.0,5.0,2.0
1.0,112.0,339.0,3.0,12.0,0.0,0.0,3.0,60.0,150.0,105.0,3.0,1.0,2.0
1.0,112.0,567.0,3.0,0.0,0.0,0.0,0.0,10.0,45.0,27.5,3.0,4.0,0.0
1.0,112.0,566.0,3.0,27.0,0.0,0.0,1.0,30.0,80.0,55.0,3.0,3.0,2.0
1.0,132.0,108.0,5.0,12.0,0.0,0.0,1.0,10.0,120.0,65.0,5.0,6.0,1.0
1.0,132.0,540.0,3.0,15.0,0.0,0.0,0.0,35.0,110.0,72.5,3.0,1.0,2.0
1.0,132.0,456.0,5.0,11.0,0.0,0.0,1.0,20.0,105.0,62.5,5.0,7.0,2.0
1.0,132.0,371.0,3.0,15.0,0.0,0.0,0.0,30.0,60.0,45.0,3.0,8.0,0.0
6.0,84.0,333.0,6.0,0.0,0.0,0.0,0.0,30.0,40.0,35.0,6.0,7.0,3.0
6.0,84.0,435.0,6.0,0.0,0.0,0.0,0.0,5.0,25.0,15.0,6.0,7.0,0.0
6.0,116.0,448.0,15.0,23.0,0.0,0.0,0.0,10.0,100.0,55.0,15.0,17.0,2.0
6.0,116.0,309.0,11.0,12.0,0.0,0.0,2.0,25.0,170.0,97.5,11.0,7.0,3.0
6.0,116.0,303.0,8.0,0.0,0.0,0.0,0.0,25.0,170.0,97.5,8.0,4.0,3.0
6.0,116.0,437.0,10.0,0.0,0.0,0.0,3.0,10.0,100.0,55.0,11.0,10.0,2.0
6.0,116.0,376.0,3.0,3.0,0.0,0.0,0.0,40.0,150.0,95.0,3.0,5.0,2.0
6.0,116.0,457.0,7.0,14.0,0.0,0.0,0.0,5.0,250.0,127.5,5.0,8.0,2.0
6.0,109.0,2.0,5.0,3.0,0.0,0.0,0.0,40.0,60.0,50.0,6.0,12.0,1.0
6.0,109.0,423.0,1.0,0.0,0.0,0.0,0.0,5.0,20.0,12.5,1.0,4.0,0.0
6.0,109.0,424.0,4.0,0.0,0.0,0.0,0.0,25.0,50.0,37.5,4.0,9.0,0.0
6.0,136.0,544.0,4.0,24.0,0.0,0.0,0.0,20.0,105.0,62.5,4.0,5.0,2.0
6.0,136.0,522.0,3.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,3.0,3.0,0.0
6.0,136.0,319.0,6.0,25.0,0.0,0.0,0.0,5.0,60.0,32.5,6.0,16.0,3.0
6.0,136.0,521.0,3.0,18.0,0.0,0.0,0.0,25.0,80.0,52.5,3.0,3.0,2.0
6.0,136.0,430.0,3.0,0.0,0.0,0.0,0.0,20.0,60.0,40.0,3.0,1.0,0.0
6.0,136.0,523.0,3.0,0.0,0.0,0.0,0.0,20.0,60.0,40.0,3.0,1.0,2.0
6.0,136.0,563.0,3.0,0.0,0.0,0.0,0.0,20.0,60.0,40.0,3.0,1.0,2.0
6.0,12.0,71.0,5.0,0.0,0.0,0.0,0.0,5.0,40.0,22.5,5.0,2.0,4.0
6.0,12.0,510.0,5.0,9.0,0.0,0.0,0.0,15.0,60.0,37.5,5.0,17.0,2.0
6.0,12.0,511.0,5.0,55.0,0.0,0.0,0.0,25.0,150.0,87.5,5.0,9.0,2.0
6.0,12.0,372.0,5.0,11.0,0.0,0.0,0.0,5.0,70.0,37.5,5.0,5.0,0.0
6.0,12.0,492.0,5.0,5.0,0.0,0.0,0.0,20.0,180.0,100.0,5.0,6.0,2.0
6.0,12.0,519.0,5.0,5.0,0.0,0.0,0.0,30.0,80.0,55.0,5.0,4.0,2.0
4.0,26.0,305.0,8.0,2.0,0.0,0.0,0.0,20.0,350.0,185.0,8.0,8.0,2.0
4.0,88.0,57.0,6.0,0.0,0.0,0.0,0.0,30.0,150.0,90.0,6.0,7.0,1.0
4.0,88.0,70.0,6.0,1.0,0.0,0.0,0.0,50.0,200.0,125.0,5.0,4.0,1.0
4.0,88.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,1.0,1.0,4.0
4.0,115.0,440.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,1.0,1.0,0.0
3.0,137.0,24.0,5.0,1.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,3.0,4.0
3.0,137.0,318.0,4.0,0.0,0.0,0.0,0.0,30.0,100.0,65.0,4.0,1.0,3.0
3.0,137.0,370.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,25.0,1.0,3.0,0.0
3.0,11.0,460.0,3.0,0.0,0.0,0.0,0.0,40.0,50.0,45.0,3.0,4.0,0.0
3.0,11.0,349.0,3.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,3.0,1.0,3.0
3.0,11.0,105.0,0.0,0.0,0.0,0.0,0.0,50.0,70.0,60.0,1.0,1.0,1.0
3.0,114.0,439.0,2.0,0.0,0.0,0.0,0.0,90.0,150.0,120.0,2.0,2.0,2.0
3.0,114.0,68.0,1.0,0.0,0.0,0.0,0.0,20.0,100.0,60.0,1.0,2.0,1.0
3.0,80.0,451.0,3.0,0.0,0.0,0.0,0.0,50.0,140.0,95.0,3.0,3.0,2.0
3.0,80.0,342.0,1.0,0.0,0.0,0.0,0.0,10.0,100.0,55.0,1.0,1.0,3.0
3.0,113.0,489.0,3.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0,3.0,3.0,0.0
3.0,113.0,443.0,1.0,0.0,0.0,0.0,0.0,20.0,30.0,25.0,1.0,1.0,0.0
3.0,81.0,461.0,5.0,7.0,0.0,0.0,0.0,90.0,125.0,107.5,5.0,3.0,2.0
3.0,119.0,23.0,1.0,1.0,0.0,0.0,0.0,50.0,175.0,112.5,1.0,1.0,1.0
3.0,119.0,557.0,7.0,3.0,0.0,0.0,0.0,30.0,100.0,65.0,7.0,4.0,2.0
3.0,96.0,344.0,3.0,0.0,0.0,0.0,0.0,20.0,40.0,30.0,3.0,4.0,0.0
3.0,96.0,18.0,2.0,0.0,0.0,0.0,0.0,10.0,50.0,30.0,2.0,1.0,1.0
3.0,96.0,442.0,2.0,0.0,0.0,0.0,0.0,30.0,40.0,35.0,2.0,2.0,0.0
1.0,10.0,60.0,2.0,0.0,0.0,0.0,0.0,5.0,20.0,12.5,2.0,2.0,4.0
1.0,10.0,61.0,1.0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,1.0,4.0
1.0,10.0,326.0,1.0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,1.0,3.0
1.0,82.0,320.0,2.0,4.0,0.0,0.0,0.0,60.0,70.0,65.0,2.0,3.0,3.0
1.0,82.0,328.0,3.0,0.0,0.0,0.0,0.0,20.0,70.0,45.0,3.0,3.0,3.0
1.0,82.0,329.0,1.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0,1.0,1.0,3.0
1.0,82.0,517.0,2.0,0.0,0.0,0.0,0.0,10.0,50.0,30.0,2.0,2.0,0.0
1.0,86.0,335.0,1.0,0.0,0.0,0.0,0.0,15.0,100.0,57.5,1.0,4.0,3.0
6.0,12.0,510.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,1.0,1.0,0.0
6.0,12.0,511.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,1.0,2.0,0.0
4.0,26.0,305.0,2.0,4.0,0.0,0.0,0.0,30.0,250.0,140.0,2.0,8.0,3.0
4.0,88.0,57.0,2.0,20.0,0.0,0.0,0.0,50.0,250.0,150.0,2.0,6.0,1.0
4.0,88.0,70.0,2.0,0.0,0.0,0.0,0.0,50.0,150.0,100.0,2.0,4.0,1.0
3.0,137.0,24.0,2.0,2.0,0.0,0.0,0.0,10.0,150.0,80.0,2.0,3.0,1.0
3.0,137.0,318.0,2.0,0.0,0.0,0.0,0.0,30.0,100.0,65.0,2.0,1.0,3.0
3.0,114.0,439.0,2.0,2.0,0.0,0.0,0.0,100.0,200.0,150.0,2.0,2.0,2.0
3.0,113.0,489.0,2.0,2.0,0.0,0.0,0.0,100.0,150.0,125.0,2.0,3.0,2.0
3.0,113.0,443.0,2.0,0.0,0.0,0.0,0.0,100.0,150.0,125.0,2.0,2.0,2.0
4.0,88.0,341.0,2.0,0.0,0.0,0.0,0.0,30.0,50.0,40.0,2.0,1.0,3.0
4.0,88.0,88.0,2.0,0.0,0.0,0.0,0.0,20.0,100.0,60.0,2.0,2.0,1.0
4.0,88.0,57.0,1.0,0.0,0.0,0.0,0.0,20.0,50.0,35.0,1.0,1.0,4.0
4.0,115.0,301.0,2.0,0.0,0.0,0.0,0.0,30.0,50.0,40.0,2.0,2.0,3.0
4.0,115.0,65.0,2.0,0.0,0.0,0.0,0.0,30.0,50.0,40.0,2.0,3.0,4.0
4.0,95.0,366.0,1.0,0.0,0.0,0.0,0.0,30.0,50.0,40.0,1.0,1.0,0.0
3.0,119.0,557.0,3.0,4.0,0.0,0.0,0.0,10.0,80.0,45.0,3.0,4.0,2.0
3.0,119.0,449.0,1.0,0.0,0.0,0.0,0.0,10.0,15.0,12.5,1.0,1.0,0.0
3.0,119.0,453.0,1.0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0
3.0,96.0,442.0,1.0,0.0,0.0,0.0,0.0,40.0,50.0,45.0,1.0,1.0,0.0
3.0,114.0,129.0,1.0,3.0,0.0,0.0,0.0,0.0,95.0,47.5,1.0,5.0,4.0
3.0,80.0,451.0,1.0,0.0,0.0,0.0,0.0,25.0,35.0,30.0,1.0,3.0,0.0
